orderid,deliveredat,totalprice
1552752,2017-08-08T00:41:43.900+00:00,41.86
1552815,2017-08-08T00:59:37.957+00:00,51.72
1552882,2017-08-08T01:01:03.193+00:00,51.35
1552790,2017-08-08T01:06:26.867+00:00,80.95
1552890,2017-08-08T01:05:43.147+00:00,38.51
1552911,2017-08-08T01:06:25.360+00:00,33.58
1552821,2017-08-08T01:01:19.003+00:00,121.61
1553012,2017-08-08T01:22:57.273+00:00,50.52
1553223,2017-08-08T01:50:02.063+00:00,75.1
1553229,2017-08-08T01:51:47.780+00:00,67.7
1553102,2017-08-08T01:53:35.020+00:00,80.23
1553329,2017-08-08T02:17:00.147+00:00,63.21
1553405,2017-08-08T02:18:31.933+00:00,52.72
1553161,2017-08-08T02:24:44.563+00:00,36.47
1553501,2017-08-08T02:26:43.607+00:00,31.76
1553548,2017-08-08T02:27:29.310+00:00,57.05
1553597,2017-08-08T02:33:43.283+00:00,61.44
1553679,2017-08-08T02:38:40.907+00:00,48.04
1553712,2017-08-08T02:46:42.197+00:00,55.52
1553669,2017-08-08T02:51:21.230+00:00,56.89
1553559,2017-08-08T02:57:17.273+00:00,41.37
1553744,2017-08-08T02:57:37.973+00:00,41.18
1553822,2017-08-08T02:58:52.083+00:00,33.06
1553794,2017-08-08T02:59:38.877+00:00,93.47
1553907,2017-08-08T03:05:27.727+00:00,42.62
1553856,2017-08-08T03:08:00.503+00:00,31.61
1553513,2017-08-08T02:35:04.337+00:00,46.32
1554019,2017-08-08T03:22:47.320+00:00,104.35
1553842,2017-08-08T03:25:28.123+00:00,36.38
1554072,2017-08-08T03:35:57.713+00:00,131.39
1554171,2017-08-08T03:40:28.727+00:00,79.26
1554138,2017-08-08T03:56:22.917+00:00,34.55
1554241,2017-08-08T03:59:50.557+00:00,38.98
1554297,2017-08-08T04:07:23.927+00:00,98.65
1554378,2017-08-08T04:14:14.790+00:00,45.27
1554405,2017-08-08T04:19:03.883+00:00,41.58
1554384,2017-08-08T04:23:11.777+00:00,62.57
1554480,2017-08-08T04:28:04.270+00:00,102.83
1554459,2017-08-08T04:34:33.767+00:00,45.04
1554515,2017-08-08T04:27:52.813+00:00,44.82
1554544,2017-08-08T04:40:36.283+00:00,97.62
1554818,2017-08-08T05:11:10.327+00:00,33.09
1554725,2017-08-08T05:11:42.550+00:00,126.23
1554865,2017-08-08T05:23:54.543+00:00,46.14
1554950,2017-08-08T05:45:31.067+00:00,31.96
1554969,2017-08-08T05:47:01.573+00:00,42.52
1555120,2017-08-08T06:50:51.740+00:00,56.03
1555162,2017-08-08T06:57:44.770+00:00,244.02
1555147,2017-08-08T07:07:37.833+00:00,36.2
1555201,2017-08-08T17:24:15.490+00:00,47.04
1555219,2017-08-08T17:24:31.453+00:00,64.4
1555275,2017-08-08T17:41:26.933+00:00,54.63
1555297,2017-08-08T17:43:52.203+00:00,45.5
1555276,2017-08-08T17:51:18.463+00:00,46.84
1555300,2017-08-08T18:07:13.957+00:00,114.72
1555464,2017-08-08T19:13:35.653+00:00,81.29
1555486,2017-08-08T19:24:51.517+00:00,94.66
1555560,2017-08-08T20:09:41.933+00:00,73.64
1555611,2017-08-08T20:17:56.720+00:00,43.98
1555511,2017-08-08T19:48:08.037+00:00,179.37
1555634,2017-08-08T20:34:24.490+00:00,66.21
1555763,2017-08-08T21:15:01.153+00:00,117.7
1555749,2017-08-08T21:18:40.240+00:00,47.54
1555829,2017-08-08T21:38:42.633+00:00,105.06
1555960,2017-08-08T22:45:59.877+00:00,31.9
1556118,2017-08-08T23:19:07.910+00:00,72.38
1556213,2017-08-08T23:33:16.870+00:00,210.55
1555766,2017-08-08T21:49:46.380+00:00,57.31
1552557,2017-08-08T00:16:23.150+00:00,212.06
1552887,2017-08-08T00:58:20.650+00:00,58.88
1553000,2017-08-08T01:13:33.423+00:00,87
1552989,2017-08-08T01:12:46.703+00:00,464.76
1552879,2017-08-08T01:13:01.877+00:00,95.08
1553193,2017-08-08T01:33:10.373+00:00,88.19
1553089,2017-08-08T01:35:34.537+00:00,48.84
1553165,2017-08-08T01:41:05.140+00:00,185.61
1553115,2017-08-08T01:41:56.870+00:00,50.98
1553110,2017-08-08T01:51:53.060+00:00,92.81
1553222,2017-08-08T02:09:59.153+00:00,40.49
1553437,2017-08-08T02:12:46.117+00:00,34.41
1553456,2017-08-08T02:15:27.707+00:00,50.25
1553412,2017-08-08T02:20:19.407+00:00,188.18
1553507,2017-08-08T02:22:50.487+00:00,121.62
1553506,2017-08-08T02:45:24.903+00:00,39.94
1553571,2017-08-08T02:46:18.200+00:00,52.26
1553563,2017-08-08T02:51:54.803+00:00,72.83
1553700,2017-08-08T02:54:21.997+00:00,55.34
1553720,2017-08-08T02:55:16.287+00:00,143.21
1553898,2017-08-08T02:59:52.507+00:00,87.77
1553745,2017-08-08T03:09:52.377+00:00,77.54
1553894,2017-08-08T03:08:28.380+00:00,40.52
1553528,2017-08-08T02:31:42.733+00:00,35.16
1553942,2017-08-08T03:08:49.710+00:00,101.23
1553974,2017-08-08T03:12:17.343+00:00,99.23
1554018,2017-08-08T03:20:43.297+00:00,63.7
1553981,2017-08-08T03:22:08.573+00:00,98.12
1553995,2017-08-08T03:22:19.843+00:00,47.75
1554095,2017-08-08T03:31:18.760+00:00,62.28
1554200,2017-08-08T03:45:04.027+00:00,46.51
1554275,2017-08-08T03:58:53.720+00:00,109.78
1554238,2017-08-08T04:01:49.540+00:00,64.73
1554333,2017-08-08T04:07:09.383+00:00,35.28
1554370,2017-08-08T04:12:36.450+00:00,196.5
1554429,2017-08-08T04:14:06.443+00:00,47.73
1554460,2017-08-08T04:15:20.700+00:00,37.01
1554253,2017-08-08T04:22:21.717+00:00,96.84
1554406,2017-08-08T04:23:17.323+00:00,92.44
1554524,2017-08-08T04:30:31.807+00:00,34.85
1554601,2017-08-08T04:36:00.570+00:00,90.83
1554661,2017-08-08T04:50:26.950+00:00,45.56
1554709,2017-08-08T04:51:10.267+00:00,63.96
1554738,2017-08-08T05:00:47.920+00:00,38.32
1554770,2017-08-08T05:03:42.480+00:00,47.54
1554771,2017-08-08T05:08:13.373+00:00,28.88
1554829,2017-08-08T05:08:53.070+00:00,43.75
1554824,2017-08-08T05:08:56.297+00:00,45.14
1554826,2017-08-08T05:21:07.767+00:00,42.22
1554860,2017-08-08T05:25:23.300+00:00,77.4
1554879,2017-08-08T05:26:16.197+00:00,78.54
1554955,2017-08-08T05:34:05.000+00:00,56.48
1554812,2017-08-08T05:36:01.180+00:00,50.32
1554988,2017-08-08T05:38:15.223+00:00,42.77
1554820,2017-08-08T05:35:09.273+00:00,46.21
1554979,2017-08-08T05:43:40.367+00:00,51.99
1554907,2017-08-08T05:55:07.593+00:00,72.04
1554960,2017-08-08T06:02:26.140+00:00,43.66
1555059,2017-08-08T06:05:52.450+00:00,47.86
1555056,2017-08-08T06:07:54.317+00:00,46.61
1554998,2017-08-08T06:29:58.113+00:00,68.78
1555129,2017-08-08T06:41:54.257+00:00,262.49
1555145,2017-08-08T06:43:17.307+00:00,79.97
1555156,2017-08-08T06:46:06.137+00:00,50.18
1555128,2017-08-08T06:51:29.783+00:00,87.33
1555168,2017-08-08T07:00:41.443+00:00,50.63
1555226,2017-08-08T17:33:09.027+00:00,43.39
1555389,2017-08-08T18:32:38.053+00:00,47.03
1555340,2017-08-08T18:39:15.237+00:00,31.55
1555438,2017-08-08T19:08:10.927+00:00,44.11
1555483,2017-08-08T19:25:12.820+00:00,168.61
1555522,2017-08-08T19:33:51.943+00:00,36.99
1555412,2017-08-08T19:44:16.323+00:00,116.56
1555504,2017-08-08T19:45:00.390+00:00,92.63
1555721,2017-08-08T21:05:42.487+00:00,120.34
1555696,2017-08-08T21:05:52.370+00:00,126.68
1555790,2017-08-08T21:27:34.150+00:00,47.77
1555797,2017-08-08T21:31:32.997+00:00,104.44
1555837,2017-08-08T21:55:28.463+00:00,39.6
1555999,2017-08-08T22:52:23.073+00:00,108.55
1556077,2017-08-08T23:06:47.993+00:00,80.84
1556141,2017-08-08T23:25:20.237+00:00,57.24
1556196,2017-08-08T23:50:58.777+00:00,78.75
1552549,2017-08-08T00:05:13.647+00:00,49.71
1552481,2017-08-08T00:08:13.937+00:00,37.29
1552566,2017-08-08T00:15:36.277+00:00,54.69
1552583,2017-08-08T00:13:44.057+00:00,94.44
1552644,2017-08-08T00:16:45.020+00:00,41.6
1552588,2017-08-08T00:20:52.790+00:00,42.99
1552666,2017-08-08T00:25:02.537+00:00,50.05
1552664,2017-08-08T00:27:36.013+00:00,73.36
1552599,2017-08-08T00:30:36.267+00:00,29.67
1552674,2017-08-08T00:31:12.197+00:00,445.02
1552801,2017-08-08T00:58:55.497+00:00,47.83
1552939,2017-08-08T01:12:46.323+00:00,43.92
1552941,2017-08-08T01:25:39.827+00:00,153.33
1553067,2017-08-08T01:22:23.207+00:00,50.43
1553014,2017-08-08T01:34:12.617+00:00,53.61
1553095,2017-08-08T01:35:09.260+00:00,60.34
1552913,2017-08-08T01:34:16.307+00:00,51.45
1553173,2017-08-08T01:40:11.460+00:00,154.59
1553142,2017-08-08T01:50:48.340+00:00,74.91
1553188,2017-08-08T01:49:30.293+00:00,40.46
1553140,2017-08-08T01:57:19.437+00:00,49.47
1553321,2017-08-08T02:04:27.667+00:00,43.59
1553261,2017-08-08T02:08:27.907+00:00,176.26
1553421,2017-08-08T02:14:08.593+00:00,46.39
1553306,2017-08-08T02:14:39.190+00:00,42.56
1553367,2017-08-08T02:13:36.667+00:00,69.64
1553318,2017-08-08T02:04:13.547+00:00,37.88
1553576,2017-08-08T02:20:22.050+00:00,52.82
1553401,2017-08-08T02:47:30.550+00:00,36.97
1553653,2017-08-08T02:48:16.987+00:00,126.15
1553442,2017-08-08T02:52:01.357+00:00,73.12
1553750,2017-08-08T03:01:37.013+00:00,53.63
1553885,2017-08-08T03:11:04.233+00:00,69.11
1553762,2017-08-08T03:12:11.130+00:00,105.42
1553892,2017-08-08T03:14:29.047+00:00,51.73
1553911,2017-08-08T03:18:15.580+00:00,38.42
1554000,2017-08-08T03:20:06.690+00:00,86.91
1553893,2017-08-08T03:30:07.287+00:00,45.62
1554122,2017-08-08T03:31:23.737+00:00,74.82
1554112,2017-08-08T03:38:11.233+00:00,77.6
1554145,2017-08-08T03:38:36.783+00:00,48.94
1554204,2017-08-08T03:45:34.180+00:00,34.19
1554202,2017-08-08T03:49:08.640+00:00,74.49
1554012,2017-08-08T03:44:28.137+00:00,62.88
1554091,2017-08-08T03:55:33.053+00:00,27.54
1554229,2017-08-08T03:53:43.977+00:00,34.7
1554220,2017-08-08T03:56:19.430+00:00,126.49
1554344,2017-08-08T04:06:25.103+00:00,35.83
1554463,2017-08-08T04:08:38.280+00:00,60.16
1554470,2017-08-08T04:12:03.320+00:00,74.87
1554321,2017-08-08T04:20:15.570+00:00,146.29
1554443,2017-08-08T04:21:49.253+00:00,44.71
1554519,2017-08-08T04:30:46.030+00:00,87.97
1554571,2017-08-08T04:30:40.207+00:00,48.35
1554414,2017-08-08T04:32:33.300+00:00,34.31
1554657,2017-08-08T04:44:23.310+00:00,49.68
1554720,2017-08-08T04:58:18.543+00:00,52.53
1554753,2017-08-08T05:00:00.830+00:00,44.65
1554680,2017-08-08T05:03:40.397+00:00,37.93
1554841,2017-08-08T05:04:00.540+00:00,64.06
1554542,2017-08-08T05:05:52.717+00:00,40.78
1554892,2017-08-08T05:15:33.143+00:00,66.29
1554806,2017-08-08T05:15:51.143+00:00,56.68
1554805,2017-08-08T05:16:44.360+00:00,50.28
1554894,2017-08-08T05:24:02.837+00:00,51.12
1554898,2017-08-08T05:27:09.027+00:00,38.3
1554880,2017-08-08T05:27:54.857+00:00,59.17
1554918,2017-08-08T05:39:16.373+00:00,116.11
1554825,2017-08-08T05:42:45.987+00:00,55.42
1553644,2017-08-08T02:52:01.967+00:00,71.54
1555087,2017-08-08T06:22:32.797+00:00,42.39
1555144,2017-08-08T07:02:30.733+00:00,50.82
1555186,2017-08-08T07:08:38.233+00:00,147.6
1554077,2017-08-08T03:52:39.297+00:00,138.14
1555341,2017-08-08T18:18:30.267+00:00,42.4
1555229,2017-08-08T18:31:12.150+00:00,38.57
1555378,2017-08-08T18:33:27.227+00:00,349.53
1555418,2017-08-08T18:58:44.143+00:00,59.94
1555445,2017-08-08T19:14:51.100+00:00,52.41
1555549,2017-08-08T19:42:00.123+00:00,74.09
1555498,2017-08-08T19:46:15.987+00:00,38.74
1555570,2017-08-08T19:49:00.897+00:00,286.93
1555562,2017-08-08T19:52:39.893+00:00,55.29
1555500,2017-08-08T19:53:44.163+00:00,764.56
1555527,2017-08-08T19:51:34.637+00:00,87.94
1555689,2017-08-08T20:59:17.873+00:00,29.49
1555780,2017-08-08T21:20:26.477+00:00,72.16
1555814,2017-08-08T21:25:43.477+00:00,37.65
1555781,2017-08-08T21:25:02.277+00:00,40.33
1555796,2017-08-08T21:36:58.930+00:00,83.73
1555791,2017-08-08T21:36:34.423+00:00,47.96
1555849,2017-08-08T21:43:10.347+00:00,73
1555902,2017-08-08T22:10:13.843+00:00,49.64
1555917,2017-08-08T22:11:46.840+00:00,79.13
1555920,2017-08-08T22:27:50.353+00:00,41.21
1556059,2017-08-08T22:56:21.987+00:00,61.46
1556138,2017-08-08T23:16:11.123+00:00,82.5
1556172,2017-08-08T23:19:48.680+00:00,108.25
1556218,2017-08-08T23:32:46.913+00:00,45.1
1556279,2017-08-08T23:47:23.763+00:00,77.77
1552508,2017-08-08T00:02:18.517+00:00,108.62
1552797,2017-08-08T00:49:47.410+00:00,48.62
1552586,2017-08-08T00:51:23.560+00:00,74.36
1552836,2017-08-08T00:58:03.770+00:00,39.07
1552769,2017-08-08T00:58:41.853+00:00,43.21
1552688,2017-08-08T01:12:01.670+00:00,34.5
1552904,2017-08-08T01:14:08.517+00:00,94.17
1552928,2017-08-08T01:07:41.547+00:00,30.25
1553078,2017-08-08T01:31:07.790+00:00,38.23
1553120,2017-08-08T01:30:06.330+00:00,55.87
1553116,2017-08-08T01:32:35.120+00:00,50.28
1553170,2017-08-08T01:45:33.437+00:00,234
1553117,2017-08-08T01:49:43.953+00:00,33.7
1553176,2017-08-08T01:52:47.997+00:00,113.73
1553327,2017-08-08T02:08:52.187+00:00,80.32
1553365,2017-08-08T02:13:21.807+00:00,45.23
1553314,2017-08-08T02:16:17.797+00:00,49.12
1553272,2017-08-08T02:22:13.977+00:00,85.73
1553503,2017-08-08T02:30:12.860+00:00,80.84
1553683,2017-08-08T02:49:56.447+00:00,70.25
1553705,2017-08-08T02:53:29.047+00:00,50.96
1553606,2017-08-08T02:56:39.067+00:00,87.14
1553943,2017-08-08T03:08:26.597+00:00,65.5
1553657,2017-08-08T03:16:56.407+00:00,154.48
1553992,2017-08-08T03:27:52.497+00:00,87.58
1553982,2017-08-08T03:32:08.537+00:00,45.8
1554128,2017-08-08T03:40:23.803+00:00,66.85
1554151,2017-08-08T03:44:28.737+00:00,99.79
1553984,2017-08-08T03:50:29.013+00:00,67.93
1554227,2017-08-08T03:54:49.270+00:00,139.42
1554246,2017-08-08T03:59:05.593+00:00,35.11
1554243,2017-08-08T03:57:33.153+00:00,103.82
1554450,2017-08-08T04:20:58.937+00:00,83.04
1554439,2017-08-08T04:24:42.870+00:00,46.94
1554428,2017-08-08T04:15:49.070+00:00,75.55
1554383,2017-08-08T04:26:40.940+00:00,70.11
1554566,2017-08-08T04:33:37.970+00:00,64.3
1554366,2017-08-08T04:36:21.580+00:00,58.58
1554667,2017-08-08T04:39:54.367+00:00,104.89
1554478,2017-08-08T04:39:24.797+00:00,85.89
1554553,2017-08-08T04:43:55.593+00:00,59.9
1554559,2017-08-08T04:49:48.763+00:00,53.67
1554716,2017-08-08T04:52:42.377+00:00,31.42
1554679,2017-08-08T04:53:18.767+00:00,90.54
1554424,2017-08-08T05:04:44.237+00:00,247.68
1554803,2017-08-08T05:07:19.023+00:00,110.14
1554828,2017-08-08T05:16:00.630+00:00,32.95
1554920,2017-08-08T05:28:49.710+00:00,40.09
1554895,2017-08-08T05:31:33.850+00:00,36.27
1554981,2017-08-08T05:45:42.013+00:00,91.67
1555033,2017-08-08T06:11:39.277+00:00,95.85
1554943,2017-08-08T06:25:36.757+00:00,39.8
1555191,2017-08-08T07:09:06.160+00:00,142.94
1555200,2017-08-08T17:26:03.550+00:00,47.14
1555288,2017-08-08T17:46:04.337+00:00,66.7
1555317,2017-08-08T18:10:17.950+00:00,70.19
1554912,2017-08-08T06:40:45.900+00:00,34.72
1555388,2017-08-08T18:42:52.107+00:00,34.46
1555487,2017-08-08T19:20:28.090+00:00,78.53
1555541,2017-08-08T19:48:19.690+00:00,31.67
1555557,2017-08-08T19:58:20.573+00:00,68.72
1555617,2017-08-08T20:06:23.627+00:00,46.27
1555630,2017-08-08T20:17:43.397+00:00,55.31
1555662,2017-08-08T20:25:17.003+00:00,56.51
1555675,2017-08-08T20:37:52.107+00:00,92.19
1555811,2017-08-08T21:42:32.420+00:00,47.41
1555877,2017-08-08T22:15:14.737+00:00,35.94
1555979,2017-08-08T22:30:11.873+00:00,74.64
1555961,2017-08-08T22:39:49.317+00:00,47.88
1556009,2017-08-08T22:46:46.990+00:00,49.68
1556034,2017-08-08T23:09:13.550+00:00,63.29
1556028,2017-08-08T23:17:16.157+00:00,38.31
1556219,2017-08-08T23:36:26.567+00:00,90.57
1556167,2017-08-08T23:39:51.273+00:00,53.61
1556247,2017-08-08T23:44:25.390+00:00,36.91
1556245,2017-08-08T23:49:45.877+00:00,42.4
1556210,2017-08-08T23:54:09.673+00:00,54.81
1556254,2017-08-08T23:55:44.437+00:00,36.05
1556233,2017-08-08T23:58:17.047+00:00,125.99
1552600,2017-08-08T00:17:35.520+00:00,63.11
1552618,2017-08-08T00:21:22.717+00:00,37.92
1552671,2017-08-08T00:27:25.397+00:00,50.72
1552659,2017-08-08T00:32:08.320+00:00,83.73
1552735,2017-08-08T00:46:17.553+00:00,50.73
1552683,2017-08-08T00:47:36.410+00:00,57.4
1552724,2017-08-08T00:51:11.757+00:00,48.25
1552828,2017-08-08T00:57:44.023+00:00,57.74
1552840,2017-08-08T00:58:46.707+00:00,60.63
1552847,2017-08-08T01:02:37.577+00:00,43.84
1552924,2017-08-08T01:09:26.317+00:00,36.82
1552794,2017-08-08T01:24:20.880+00:00,61.99
1553083,2017-08-08T01:26:37.187+00:00,77.8
1552987,2017-08-08T01:38:30.600+00:00,84.59
1552910,2017-08-08T01:08:16.983+00:00,46.16
1553134,2017-08-08T01:37:20.307+00:00,40.78
1553109,2017-08-08T01:45:19.867+00:00,33.73
1553026,2017-08-08T01:51:17.310+00:00,226.6
1553259,2017-08-08T01:52:22.327+00:00,30.96
1553239,2017-08-08T01:56:40.860+00:00,54.93
1553322,2017-08-08T01:59:13.247+00:00,44.93
1553354,2017-08-08T02:20:14.517+00:00,59.14
1553709,2017-08-08T02:39:20.153+00:00,33.31
1553596,2017-08-08T02:39:32.387+00:00,44.63
1553824,2017-08-08T02:58:36.310+00:00,86.08
1553923,2017-08-08T03:02:00.910+00:00,84.76
1553905,2017-08-08T03:21:58.787+00:00,39.95
1554058,2017-08-08T03:25:56.477+00:00,58.88
1553932,2017-08-08T03:21:37.577+00:00,78.16
1554079,2017-08-08T03:38:47.270+00:00,66.65
1554148,2017-08-08T03:38:07.793+00:00,116.17
1554147,2017-08-08T03:45:48.197+00:00,114.49
1554087,2017-08-08T03:49:18.433+00:00,41.9
1554303,2017-08-08T03:52:22.310+00:00,37.22
1554149,2017-08-08T03:55:01.330+00:00,42.37
1554235,2017-08-08T03:56:50.183+00:00,53.09
1554103,2017-08-08T03:56:07.200+00:00,200.01
1554315,2017-08-08T03:58:45.117+00:00,41.93
1554244,2017-08-08T04:02:00.143+00:00,54.26
1554377,2017-08-08T04:10:36.577+00:00,35.55
1554347,2017-08-08T04:13:25.670+00:00,39.02
1554412,2017-08-08T04:16:50.997+00:00,33.57
1554658,2017-08-08T04:40:39.337+00:00,173.26
1554609,2017-08-08T04:42:12.923+00:00,40.7
1554608,2017-08-08T04:45:49.997+00:00,42.59
1554591,2017-08-08T04:47:52.470+00:00,78.58
1554692,2017-08-08T04:50:36.843+00:00,42.02
1554706,2017-08-08T04:50:34.830+00:00,47.94
1554652,2017-08-08T04:54:19.453+00:00,48.04
1554741,2017-08-08T05:03:23.870+00:00,74.95
1554779,2017-08-08T05:06:51.443+00:00,44.83
1554799,2017-08-08T05:14:38.067+00:00,309.97
1554872,2017-08-08T05:22:05.797+00:00,64.79
1554850,2017-08-08T05:32:06.167+00:00,88.18
1554647,2017-08-08T04:52:42.323+00:00,73.44
1554983,2017-08-08T05:38:12.010+00:00,47.84
1554713,2017-08-08T05:00:58.300+00:00,40.02
1554867,2017-08-08T05:47:47.407+00:00,39.73
1555027,2017-08-08T05:53:33.177+00:00,50.89
1555013,2017-08-08T05:53:19.047+00:00,44.42
1554957,2017-08-08T06:00:04.283+00:00,34.08
1555073,2017-08-08T06:10:58.157+00:00,51.83
1555133,2017-08-08T06:42:54.753+00:00,42.29
1555154,2017-08-08T06:43:03.310+00:00,46.99
1555178,2017-08-08T06:57:50.590+00:00,46.87
1555106,2017-08-08T06:34:49.903+00:00,73.6
1555204,2017-08-08T17:14:01.117+00:00,29.67
1555220,2017-08-08T17:35:25.383+00:00,182.64
1555216,2017-08-08T17:38:44.070+00:00,49.54
1555239,2017-08-08T17:42:17.020+00:00,75.36
1555273,2017-08-08T17:48:33.803+00:00,74.1
1555278,2017-08-08T17:53:01.553+00:00,106.91
1555249,2017-08-08T18:02:07.647+00:00,35.5
1555355,2017-08-08T18:17:25.600+00:00,45.07
1555304,2017-08-08T18:19:15.367+00:00,119.9
1555375,2017-08-08T18:30:01.290+00:00,27.71
1555371,2017-08-08T18:44:10.953+00:00,39.72
1555454,2017-08-08T19:21:04.467+00:00,111.29
1555523,2017-08-08T19:33:56.810+00:00,99.48
1555512,2017-08-08T19:36:52.293+00:00,59.96
1555595,2017-08-08T20:06:01.903+00:00,54.11
1555658,2017-08-08T20:32:56.373+00:00,65.78
1555669,2017-08-08T20:45:34.600+00:00,105.01
1555671,2017-08-08T20:50:36.987+00:00,302.58
1555736,2017-08-08T21:24:09.460+00:00,98.86
1555730,2017-08-08T21:23:19.923+00:00,47.99
1552945,2017-08-08T01:11:06.747+00:00,35.73
1555795,2017-08-08T21:33:40.857+00:00,56.65
1555792,2017-08-08T21:43:45.623+00:00,97.5
1555838,2017-08-08T21:51:54.897+00:00,64.71
1555867,2017-08-08T22:12:36.113+00:00,58.93
1555930,2017-08-08T22:32:41.253+00:00,32.35
1556023,2017-08-08T22:46:40.733+00:00,114.31
1556039,2017-08-08T23:21:35.790+00:00,83.24
1556164,2017-08-08T23:24:17.527+00:00,47.98
1556214,2017-08-08T23:37:54.940+00:00,72.09
1556101,2017-08-08T23:10:32.747+00:00,36.08
1556104,2017-08-08T23:53:09.323+00:00,252.19
1556211,2017-08-08T23:59:55.787+00:00,49.8
1552572,2017-08-08T00:06:48.407+00:00,74.36
1552596,2017-08-08T00:23:01.503+00:00,30.15
1552793,2017-08-08T00:45:24.190+00:00,147.37
1552863,2017-08-08T00:54:57.290+00:00,47.66
1552779,2017-08-08T01:02:18.403+00:00,56.58
